product_id,category,product_name,unit_price,base_demand
P0001,Smartphones,Apple iPhone 15 Pro,1199.0,2.5
P0002,Smartphones,Samsung Galaxy S24,899.0,2.0
P0003,Laptops,Apple MacBook Air M3,1299.0,1.5
P0004,Laptops,Dell XPS 13,1199.0,1.2
P0005,Audio,Sony WH-1000XM5,349.0,2.8
P0006,Audio,Apple AirPods Pro 2,249.0,3.0
P0007,Wearables,Apple Watch Series 9,399.0,2.2
P0008,Wearables,Garmin Fenix 7 Pro,799.0,1.0
P0009,Smart Home,Google Nest Hub Max,229.0,1.8
P0010,Smart Home,Philips Hue Starter Kit,199.0,1.6
